Site Section,Sort Type,Template,Category,Site Section 2,Ad Type,Yard,Parking Type,heating,State,City,Zip,Seller Type,School District,Seller Accepts Texts,Photo Count,Year Built,Title,Previous URL,Acres,Square Feet,Newly Built,Seller ID,AD ID,Time Posted,Asking Price,Package Type,Exterior Material,cooling,Bathrooms,Bedrooms,Expire Date,Ad Status,Special Features,Floor Covering,Basement Type,Included Appliances,mls number,Listing ID
homes,not specified,detail page,multifamily home,for sale,for sale,fenced full|landscape full,attached garage|detached garage|driveway|other|1 cars|2 cars,forced air,ut,santaquin,84655,by owner,nebo,true,31,2010,280 North 500 West|Santaquin |UT|84655,not specified,0.34,2722,False,1081310,40315401,2019-03-22T13:45:27Z,375000,select basic,aluminumvinyl|brick,central air,3,6,2019-09-22,active,patio uncovered|sprinklers automatic|walkin closet,carpet|tile,full finished,microwave|range|refrigerator,not specified,40315401
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|driveway|3 cars,forced air,ut,syracuse,84075,by agent,davis,true,25,2013,3102 S 660 W|Syracuse|UT|84075,not specified,0.25,4059,False,231927,40315400,2019-03-22T13:40:57Z,469900,not specified,other,central air,25,4,2019-09-22,active,fireplace gas|sprinklers automatic|walkin closet,carpet|hardwood|tile,full partially finished,microwave|range|refrigerator,1588120,40315400
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|driveway|other|street parking|3 cars,forced air,ut,vernal,84078,by agent,uintah,false,5,2014,3832 s. 410 w.|Vernal|UT|84078,not specified,0.2,3120,False,70273,40257343,2019-03-22T13:39:58Z,275000,not specified,aluminumvinyl|other,central air,25,4,2019-09-22,active,fireplace gas|patio uncovered|sprinklers automatic|walkin closet,carpet|hardwood|other|tile,full unfinished,microwave|range|refrigerator,1560812,40257343
homes,not specified,detail page,single family home,for sale,for sale,landscape front,attached garage|combined garage|2 cars,forced air,ut,spanish fork,84660,by agent,nebo,true,54,2019,1592 North 1550 East|Spanish Fork|UT|84660,not specified,0.13,2016,False,3188281,40315399,2019-03-22T13:33:26Z,347000,not specified,other|stucco,central air,25,4,2019-09-22,active,sprinklers automatic|walkin closet,carpet|laminate|linoleum,shelfcrawl space,microwave|other|range,1586816,40315399
homes,not specified,detail page,single family home,for sale,for sale,landscape full,attached garage|combined garage|driveway|other|2 cars,forced air,ut,springville,84663,by agent,not specified,true,23,1994,308 Brookcourt|Springville|UT|84663,not specified,0.03,1720,False,3189549,40315398,2019-03-22T13:22:09Z,264900,not specified,aluminumvinyl|stucco,central air,25,3,2019-09-22,active,deck|fireplace gas|sprinklers automatic|walkin closet,carpet|laminate|tile,full finished,microwave|other|range|refrigerator,1588232,40315398
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,forced air,ut,south jordan,84009,by agent,jordan,true,55,2016,10726 S Beach Comber Way|South Jordan|UT|84009,not specified,0.18,3324,False,3062452,40315397,2019-03-22T13:20:39Z,559000,not specified,other,central air,35,5,2019-09-22,active,deck|fireplace gas|patio covered|sprinklers automatic|walkin closet,carpet|laminate|tile,full finished,microwave|range,1587767,40315397
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,forced air,ut,cottonwood heights,84093,by agent,canyons,false,45,1977,7505 S Creek Rd|Cottonwood Heights|UT|84093,not specified,0.34,3298,False,2609439,40315396,2019-03-22T13:17:28Z,455000,not specified,brick,central air,4,5,2019-09-22,active,not specified,carpet|hardwood|tile,full finished,microwave|other|range|refrigerator,1588233,40315396
homes,not specified,detail page,single family home,for sale,for sale,fenced full|landscape full,attached garage|combined garage|2 cars,forced air,ut,spanish fork,84660,by agent,nebo,true,25,2000,1504 S 3400 E|Spanish Fork|UT|84660,not specified,0.22,3040,False,2482718,40315395,2019-03-22T13:14:26Z,389900,not specified,other|stucco,central air,3,5,2019-09-22,active,sprinklers automatic|walkin closet,carpet|other|tile,full finished,microwave|range,1588025,40315395
homes,not specified,detail page,townhouse/condo,for sale,for sale,fenced full|landscape full,attached garage|combined garage|1 cars,forced air,ut,west valley city,84120,by agent,granite,true,18,1983,4476 S Prince Cir|West Valley City|UT|84120,not specified,0.13,1567,False,2482718,40315393,2019-03-22T13:04:04Z,210000,not specified,aluminumvinyl,evaporative cooler roof,25,4,2019-09-22,active,deck|fireplace woodburning|sprinklers automatic,carpet|tile,full finished,microwave|range,1588066,40315393
homes,not specified,detail page,single family home,for sale,for sale,fenced full,combined garage|detached garage|4 cars,forced air,ut,magna,84044,by agent,granite,true,23,1977,7337 West Gardenia Cirlce|Magna|UT|84044,not specified,0.16,1844,False,1354182,40315392,2019-03-22T13:00:59Z,280000,not specified,not specified,central air,2,5,2019-09-22,active,not specified,not specified,not specified,refrigerator,1587622,40315392
